DATE,DSWP5
2000-07-03,7.17
2000-07-04,.
2000-07-05,7.08
2000-07-06,7.16
2000-07-07,7.07
2000-07-10,7.14
2000-07-11,7.14
2000-07-12,7.17
2000-07-13,7.13
2000-07-14,7.19
2000-07-17,7.28
2000-07-18,7.28
2000-07-19,7.29
2000-07-20,7.21
2000-07-21,7.14
2000-07-24,7.17
2000-07-25,7.15
2000-07-26,7.13
2000-07-27,7.11
2000-07-28,7.15
2000-07-31,7.18
2000-08-01,7.14
2000-08-02,7.12
2000-08-03,7.07
2000-08-04,7.02
2000-08-07,7.03
2000-08-08,7.03
2000-08-09,7.02
2000-08-10,6.98
2000-08-11,6.97
2000-08-14,7.05
2000-08-15,7.03
2000-08-16,7.04
2000-08-17,7.04
2000-08-18,7.04
2000-08-21,7.02
2000-08-22,7.03
2000-08-23,6.96
2000-08-24,6.94
2000-08-25,6.92
2000-08-28,6.94
2000-08-29,6.99
2000-08-30,7.03
2000-08-31,6.96
2000-09-01,6.87
2000-09-04,.
2000-09-05,6.85
2000-09-06,6.88
2000-09-07,6.89
2000-09-08,6.91
2000-09-11,6.93
2000-09-12,6.93
2000-09-13,6.87
2000-09-14,6.84
2000-09-15,6.86
2000-09-18,6.86
2000-09-19,6.85
2000-09-20,6.85
2000-09-21,6.91
2000-09-22,6.84
2000-09-25,6.86
2000-09-26,6.84
2000-09-27,6.83
2000-09-28,6.81
2000-09-29,6.75
2000-10-02,6.77
2000-10-03,6.75
2000-10-04,6.81
2000-10-05,6.85
2000-10-06,6.85
2000-10-09,.
2000-10-10,6.85
2000-10-11,6.79
2000-10-12,6.76
2000-10-13,6.74
2000-10-16,6.74
2000-10-17,6.72
2000-10-18,6.66
2000-10-19,6.65
2000-10-20,6.65
2000-10-23,6.61
2000-10-24,6.63
2000-10-25,6.64
2000-10-26,6.67
2000-10-27,6.70
2000-10-30,6.76
2000-10-31,6.73
2000-11-01,6.72
2000-11-02,6.70
2000-11-03,6.75
2000-11-06,6.80
2000-11-07,6.80
2000-11-08,6.82
2000-11-09,6.77
2000-11-10,6.77
2000-11-13,6.72
2000-11-14,6.73
2000-11-15,6.71
2000-11-16,6.68
2000-11-17,6.68
2000-11-20,6.68
2000-11-21,6.70
2000-11-22,6.66
2000-11-23,.
2000-11-24,6.68
2000-11-27,6.67
2000-11-28,6.63
2000-11-29,6.58
2000-11-30,6.51
2000-12-01,6.48
2000-12-04,6.46
2000-12-05,6.41
2000-12-06,6.29
2000-12-07,6.26
2000-12-08,6.22
2000-12-11,6.26
2000-12-12,6.28
2000-12-13,6.19
2000-12-14,6.06
2000-12-15,6.08
2000-12-18,5.98
2000-12-19,6.09
2000-12-20,5.99
2000-12-21,5.93
2000-12-22,5.91
2000-12-25,.
2000-12-26,5.90
2000-12-27,5.97
2000-12-28,6.05
2000-12-29,5.98
2001-01-01,.
2001-01-02,5.79
2001-01-03,5.78
2001-01-04,5.78
2001-01-05,5.64
2001-01-08,5.50
2001-01-09,5.57
2001-01-10,5.62
2001-01-11,5.70
2001-01-12,5.85
2001-01-15,.
2001-01-16,5.84
2001-01-17,5.82
2001-01-18,5.66
2001-01-19,5.70
2001-01-22,5.81
2001-01-23,5.75
2001-01-24,5.85
2001-01-25,5.91
2001-01-26,5.81
2001-01-29,5.78
2001-01-30,5.72
2001-01-31,5.70
2001-02-01,5.52
2001-02-02,5.63
2001-02-05,5.65
2001-02-06,5.74
2001-02-07,5.69
2001-02-08,5.77
2001-02-09,5.68
2001-02-12,5.64
2001-02-13,5.65
2001-02-14,5.72
2001-02-15,5.88
2001-02-16,5.76
2001-02-19,.
2001-02-20,5.74
2001-02-21,5.71
2001-02-22,5.71
2001-02-23,5.69
2001-02-26,5.66
2001-02-27,5.52
2001-02-28,5.51
2001-03-01,5.46
2001-03-02,5.50
2001-03-05,5.58
2001-03-06,5.59
2001-03-07,5.54
2001-03-08,5.47
2001-03-09,5.54
2001-03-12,5.53
2001-03-13,5.56
2001-03-14,5.50
2001-03-15,5.42
2001-03-16,5.34
2001-03-19,5.40
2001-03-20,5.43
2001-03-21,5.31
2001-03-22,5.25
2001-03-23,5.32
2001-03-26,5.40
2001-03-27,5.50
2001-03-28,5.50
2001-03-29,5.51
2001-03-30,5.42
2001-04-02,5.47
2001-04-03,5.43
2001-04-04,5.40
2001-04-05,5.41
2001-04-06,5.33
2001-04-09,5.34
2001-04-10,5.40
2001-04-11,5.55
2001-04-12,5.52
2001-04-13,.
2001-04-16,5.64
2001-04-17,5.67
2001-04-18,5.64
2001-04-19,5.50
2001-04-20,5.53
2001-04-23,5.48
2001-04-24,5.51
2001-04-25,5.49
2001-04-26,5.52
2001-04-27,5.56
2001-04-30,5.64
2001-05-01,5.60
2001-05-02,5.58
2001-05-03,5.51
2001-05-04,5.42
2001-05-07,5.48
2001-05-08,5.42
2001-05-09,5.44
2001-05-10,5.47
2001-05-11,5.67
2001-05-14,5.70
2001-05-15,5.75
2001-05-16,5.73
2001-05-17,5.74
2001-05-18,5.71
2001-05-21,5.74
2001-05-22,5.69
2001-05-23,5.68
2001-05-24,5.67
2001-05-25,5.77
2001-05-28,.
2001-05-29,5.75
2001-05-30,5.80
2001-05-31,5.70
2001-06-01,5.63
2001-06-04,5.65
2001-06-05,5.60
2001-06-06,5.61
2001-06-07,5.59
2001-06-08,5.64
2001-06-11,5.62
2001-06-12,5.57
2001-06-13,5.59
2001-06-14,5.50
2001-06-15,5.52
2001-06-18,5.54
2001-06-19,5.59
2001-06-20,5.54
2001-06-21,5.49
2001-06-22,5.48
2001-06-25,5.46
2001-06-26,5.51
2001-06-27,5.54
2001-06-28,5.65
2001-06-29,5.85
2001-07-02,5.79
2001-07-03,5.77
2001-07-04,.
2001-07-05,5.79
2001-07-06,5.74
2001-07-09,5.73
2001-07-10,5.67
2001-07-11,5.62
2001-07-12,5.65
2001-07-13,5.65
2001-07-16,5.61
2001-07-17,5.58
2001-07-18,5.51
2001-07-19,5.48
2001-07-20,5.48
2001-07-23,5.46
2001-07-24,5.46
2001-07-25,5.47
2001-07-26,5.47
2001-07-27,5.41
2001-07-30,5.39
2001-07-31,5.32
2001-08-01,5.36
2001-08-02,5.40
2001-08-03,5.47
2001-08-06,5.46
2001-08-07,5.45
2001-08-08,5.43
2001-08-09,5.30
2001-08-10,5.31
2001-08-13,5.24
2001-08-14,5.28
2001-08-15,5.32
2001-08-16,5.32
2001-08-17,5.22
2001-08-20,5.27
2001-08-21,5.28
2001-08-22,5.25
2001-08-23,5.22
2001-08-24,5.26
2001-08-27,5.25
2001-08-28,5.16
2001-08-29,5.11
2001-08-30,5.08
2001-08-31,5.14
2001-09-03,.
2001-09-04,5.28
2001-09-05,5.27
2001-09-06,5.19
2001-09-07,5.02
2001-09-10,5.06
2001-09-11,.
2001-09-12,.
2001-09-13,.
2001-09-14,4.75
2001-09-17,4.76
2001-09-18,4.82
2001-09-19,4.69
2001-09-20,4.68
2001-09-21,4.64
2001-09-24,4.67
2001-09-25,4.58
2001-09-26,4.61
2001-09-27,4.50
2001-09-28,4.62
2001-10-01,4.54
2001-10-02,4.53
2001-10-03,4.44
2001-10-04,4.47
2001-10-05,4.46
2001-10-08,.
2001-10-09,4.51
2001-10-10,4.56
2001-10-11,4.62
2001-10-12,4.65
2001-10-15,4.60
2001-10-16,4.53
2001-10-17,4.53
2001-10-18,4.53
2001-10-19,4.49
2001-10-22,4.53
2001-10-23,4.58
2001-10-24,4.55
2001-10-25,4.45
2001-10-26,4.48
2001-10-29,4.39
2001-10-30,4.31
2001-10-31,4.35
2001-11-01,4.17
2001-11-02,4.27
2001-11-05,4.28
2001-11-06,4.25
2001-11-07,4.07
2001-11-08,4.13
2001-11-09,4.17
2001-11-12,.
2001-11-13,4.27
2001-11-14,4.34
2001-11-15,4.57
2001-11-16,4.78
2001-11-19,4.79
2001-11-20,4.73
2001-11-21,4.98
2001-11-22,.
2001-11-23,4.98
2001-11-26,4.93
2001-11-27,5.11
2001-11-28,4.88
2001-11-29,4.95
2001-11-30,4.77
2001-12-03,4.73
2001-12-04,4.66
2001-12-05,4.91
2001-12-06,5.01
2001-12-07,5.21
2001-12-10,5.16
2001-12-11,5.09
2001-12-12,4.96
2001-12-13,5.03
2001-12-14,5.15
2001-12-17,5.40
2001-12-18,5.25
2001-12-19,5.15
2001-12-20,5.17
2001-12-21,5.19
2001-12-24,5.24
2001-12-25,.
2001-12-26,5.30
2001-12-27,5.29
2001-12-28,5.23
2001-12-31,5.14
2002-01-01,.
2002-01-02,5.17
2002-01-03,5.19
2002-01-04,5.23
2002-01-07,5.08
2002-01-08,5.01
2002-01-09,5.08
2002-01-10,4.96
2002-01-11,4.88
2002-01-14,4.69
2002-01-15,4.78
2002-01-16,4.72
2002-01-17,4.85
2002-01-18,4.93
2002-01-21,.
2002-01-22,4.92
2002-01-23,4.91
2002-01-24,5.01
2002-01-25,5.09
2002-01-28,5.10
2002-01-29,5.04
2002-01-30,4.97
2002-01-31,4.98
2002-02-01,4.99
2002-02-04,4.90
2002-02-05,4.88
2002-02-06,4.86
2002-02-07,4.94
2002-02-08,4.87
2002-02-11,4.88
2002-02-12,4.86
2002-02-13,4.97
2002-02-14,4.96
2002-02-15,4.85
2002-02-18,.
2002-02-19,4.84
2002-02-20,4.82
2002-02-21,4.83
2002-02-22,4.78
2002-02-25,4.83
2002-02-26,4.82
2002-02-27,4.82
2002-02-28,4.80
2002-03-01,4.91
2002-03-04,4.98
2002-03-05,5.00
2002-03-06,4.98
2002-03-07,5.13
2002-03-08,5.26
2002-03-11,5.30
2002-03-12,5.26
2002-03-13,5.26
2002-03-14,5.33
2002-03-15,5.41
2002-03-18,5.33
2002-03-19,5.33
2002-03-20,5.38
2002-03-21,5.48
2002-03-22,5.42
2002-03-25,5.45
2002-03-26,5.36
2002-03-27,5.33
2002-03-28,5.40
2002-03-29,.
2002-04-01,5.43
2002-04-02,5.41
2002-04-03,5.25
2002-04-04,5.22
2002-04-05,5.19
2002-04-08,5.16
2002-04-09,5.21
2002-04-10,5.17
2002-04-11,5.14
2002-04-12,5.13
2002-04-15,5.11
2002-04-16,5.17
2002-04-17,5.10
2002-04-18,5.12
2002-04-19,5.11
2002-04-22,5.09
2002-04-23,5.06
2002-04-24,5.02
2002-04-25,4.93
2002-04-26,4.93
2002-04-29,4.94
2002-04-30,4.94
2002-05-01,4.88
2002-05-02,4.96
2002-05-03,4.90
2002-05-06,4.93
2002-05-07,4.92
2002-05-08,4.97
2002-05-09,5.05
2002-05-10,4.99
2002-05-13,4.96
2002-05-14,5.10
2002-05-15,5.07
2002-05-16,5.00
2002-05-17,5.02
2002-05-20,4.96
2002-05-21,4.90
2002-05-22,4.84
2002-05-23,4.86
2002-05-24,4.88
2002-05-27,.
2002-05-28,4.89
2002-05-29,4.84
2002-05-30,4.80
2002-05-31,4.82
2002-06-03,4.83
2002-06-04,4.73
2002-06-05,4.78
2002-06-06,4.78
2002-06-07,4.77
2002-06-10,4.82
2002-06-11,4.81
2002-06-12,4.73
2002-06-13,4.65
2002-06-14,4.57
2002-06-17,4.64
2002-06-18,4.62
2002-06-19,4.53
2002-06-20,4.48
2002-06-21,4.55
2002-06-24,4.50
2002-06-25,4.63
2002-06-26,4.45
2002-06-27,4.52
2002-06-28,4.62
2002-07-01,4.59
2002-07-02,4.49
2002-07-03,4.44
2002-07-04,.
2002-07-05,4.57
2002-07-08,4.56
2002-07-09,4.52
2002-07-10,4.41
2002-07-11,4.27
2002-07-12,4.31
2002-07-15,4.24
2002-07-16,4.36
2002-07-17,4.41
2002-07-18,4.35
2002-07-19,4.25
2002-07-22,4.18
2002-07-23,4.14
2002-07-24,4.00
2002-07-25,4.10
2002-07-26,4.07
2002-07-29,4.15
2002-07-30,4.24
2002-07-31,4.17
2002-08-01,4.04
2002-08-02,4.00
2002-08-05,3.87
2002-08-06,3.95
2002-08-07,3.88
2002-08-08,3.90
2002-08-09,3.88
2002-08-12,3.83
2002-08-13,3.79
2002-08-14,3.64
2002-08-15,3.91
2002-08-16,3.95
2002-08-19,4.00
2002-08-20,3.89
2002-08-21,3.83
2002-08-22,3.88
2002-08-23,3.85
2002-08-26,4.07
2002-08-27,3.85
2002-08-28,3.83
2002-08-29,3.74
2002-08-30,3.75
2002-09-02,.
2002-09-03,3.56
2002-09-04,3.53
2002-09-05,3.55
2002-09-06,3.56
2002-09-09,3.62
2002-09-10,3.71
2002-09-11,3.74
2002-09-12,3.61
2002-09-13,3.55
2002-09-16,3.51
2002-09-17,3.54
2002-09-18,3.47
2002-09-19,3.41
2002-09-20,3.43
