Per Capita Personal Income by County (Dollars)																		
Series ID	Region Name	Region Code	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
PCPI45001	Abbeville County, SC	45001	21528	20359	21756	22375	23410	24311	25712	25702	26619	27675	27555	28193	29498	30928	31785	33044
PCPI22001	Acadia Parish, LA	22001	21565	22264	22569	24134	25908	27751	31483	31140	31569	32797	34456	36229	37336	35676	34158	35401
PCPI51001	Accomack County, VA	51001	22156	23971	25337	26630	27828	29914	32114	32607	33556	33989	35525	36069	37225	38807	39099	40701
PCPI16001	Ada County, ID	16001	34195	34676	36657	37544	40471	40561	39479	37727	38275	39649	41472	42857	45259	47671	48419	49900
PCPI29001	Adair County, MO	29001	21065	21269	22361	23133	24114	25295	26552	27800	27158	28405	28618	29215	30036	31139	31186	32037
PCPI40001	Adair County, OK	40001	17993	17920	18560	19416	19933	20780	21206	21633	23094	24337	24960	25456	26219	27813	27748	28755
PCPI19001	Adair County, IA	19001	27441	27051	31072	28937	30032	32232	37543	35559	35268	40950	42093	45539	45251	47128	47917	46459
PCPI21001	Adair County, KY	21001	18098	18054	19109	19932	20532	21590	22657	23350	24568	25596	26531	26884	27895	28588	28691	29562
PCPI53001	Adams County, WA	53001	22473	24005	24184	23912	25288	28573	30908	29888	31274	34725	37199	37395	38944	44149	40668	41603
PCPI39001	Adams County, OH	39001	21077	21591	22661	22427	22984	24419	24790	25382	25939	28127	28127	28812	30291	31624	32190	33284
PCPI42001	Adams County, PA	42001	28897	30272	31085	32294	33420	35219	36758	36469	37300	38784	39997	40887	43153	44831	45251	47067
PCPI16003	Adams County, ID	16003	23171	23536	25635	26044	27787	28202	28315	26960	27880	29262	31070	31806	33559	35939	37125	36851
PCPI28001	Adams County, MS	28001	23131	22567	23322	24929	26858	27635	29943	28169	28958	30814	32145	32892	33882	32977	32466	33099
PCPI38001	Adams County, ND	38001	22764	30371	29405	32483	32694	37680	36641	38774	41795	44652	56898	46824	48850	49582	49460	56404
PCPI19003	Adams County, IA	19003	27465	26203	31426	29449	27868	30843	37004	36638	37251	48010	48718	57577	63766	70430	64080	59530
PCPI31001	Adams County, NE	31001	28094	29712	29583	31124	32147	35392	36403	36000	36756	41033	43265	42807	45197	46910	45601	47158
PCPI18001	Adams County, IN	18001	24748	25545	27042	26643	27635	28098	28580	26892	28104	31109	33673	34227	35251	34450	35804	36934
PCPI55001	Adams County, WI	55001	23200	23749	24272	24814	26021	26941	27717	28612	29252	31145	32909	33171	34290	35798	36186	37748
PCPI17001	Adams County, IL	17001	27320	28701	30199	30033	31282	33192	35172	34893	36628	38102	39529	39962	40986	42063	42886	44373
PCPI08001	Adams County, CO	08001	27923	28243	28508	28903	29714	30805	31704	30779	30721	32417	33944	34845	36827	38451	39618	41215
PCPI50001	Addison County, VT	50001	28967	30571	31924	32291	34021	36371	38142	37479	39587	42321	45295	44697	45741	46403	47858	49645
PCPI45003	Aiken County, SC	45003	26389	27129	27698	28778	29954	31377	32486	32703	33489	35102	35520	35317	36845	38664	39304	40656
PCPI27001	Aitkin County, MN	27001	23339	23972	24309	24244	25182	26249	27746	28084	29259	30169	30964	31807	34856	35018	36259	37793
