DATE,ICERATES1100USD3Y
2014-10-21,1
2014-10-22,1.013
2014-10-23,1.048
2014-10-24,1.049
2014-10-27,1.04
2014-10-28,1.042
2014-10-29,1.062
2014-10-30,1.103
2014-10-31,1.143
2014-11-03,1.173
2014-11-04,1.129
2014-11-05,1.164
2014-11-06,1.174
2014-11-07,1.154
2014-11-10,1.151
2014-11-11,.
2014-11-12,1.163
2014-11-13,1.169
2014-11-14,1.176
2014-11-17,1.149
2014-11-18,1.136
2014-11-19,1.166
2014-11-20,1.155
2014-11-21,1.143
2014-11-24,1.148
2014-11-25,1.135
2014-11-26,1.108
2014-11-27,.
2014-11-28,1.1
2014-12-01,1.061
2014-12-02,1.146
2014-12-03,1.173
2014-12-04,1.166
2014-12-05,1.277
2014-12-08,1.293
2014-12-09,1.234
2014-12-10,1.231
2014-12-11,1.249
2014-12-12,1.168
2014-12-15,1.213
2014-12-16,1.177
2014-12-17,1.194
2014-12-18,1.27
2014-12-19,1.268
2014-12-22,1.291
2014-12-23,1.332
2014-12-24,1.35
2014-12-25,.
2014-12-26,1.34
2014-12-29,1.297
2014-12-30,1.283
2014-12-31,.
2015-01-01,.
2015-01-02,1.277
2015-01-05,1.267
2015-01-06,1.199
2015-01-07,1.2
2015-01-08,1.201
2015-01-09,1.142
2015-01-12,1.124
2015-01-13,1.115
2015-01-14,1.021
2015-01-15,1.002
2015-01-16,1.022
2015-01-19,.
2015-01-20,1.002
2015-01-21,1.029
2015-01-22,1.085
2015-01-23,1.07
2015-01-26,1.104
2015-01-27,1.044
2015-01-28,1.064
2015-01-29,1.051
2015-01-30,0.997
2015-02-02,0.996
2015-02-03,1.021
2015-02-04,1.085
2015-02-05,1.082
2015-02-06,1.213
2015-02-09,1.231
2015-02-10,1.253
2015-02-11,1.263
2015-02-12,1.241
2015-02-13,1.229
2015-02-16,.
2015-02-17,1.28
2015-02-18,1.299
2015-02-19,1.23
2015-02-20,1.25
2015-02-23,1.256
2015-02-24,1.238
2015-02-25,1.193
2015-02-26,1.23
2015-02-27,1.226
2015-03-02,1.259
2015-03-03,1.286
2015-03-04,1.281
2015-03-05,1.279
2015-03-06,1.345
2015-03-09,1.334
2015-03-10,1.311
2015-03-11,1.32
2015-03-12,1.287
2015-03-13,1.284
2015-03-16,1.272
2015-03-17,1.268
2015-03-18,1.277
2015-03-19,1.179
2015-03-20,1.163
2015-03-23,1.157
2015-03-24,1.148
2015-03-25,1.126
2015-03-26,1.175
2015-03-27,1.146
2015-03-30,1.136
2015-03-31,1.117
2015-04-01,1.09
2015-04-02,1.103
2015-04-03,.
2015-04-06,.
2015-04-07,1.082
